sample_index,layout,rig_id,semantic_id,priority,object_id,semantic_zone,object_region_recall,object_region_precision,object_region_f2,object_presence_success,object_target_surface_voxels,object_prediction_voxels,object_visible_surface_recall,object_visible_1plus,object_visible_2plus,object_visible_3plus,object_mean_view_diversity_deg
3,N2_mirrored_support,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.3322734499205087,0.6096096096096096,0.365532571143027,1,629,333,0.8807631160572337,0.8807631160572337,0.5548489666136724,0.2480127186009539,109.28160765269998
3,N2_mirrored_support,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.005681818181818182,0.5,0.007082152974504249,0,1584,2,0.8901515151515151,0.8901515151515151,0.586489898989899,0.2708333333333333,95.31396556629916
3,N2_mirrored_support,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,243,0,0.2839506172839506,0.2839506172839506,0.0,0.0,0.0
3,N2_mirrored_support,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,948,0,1.0,1.0,0.8132911392405063,0.0,96.48461253287586
3,N2_mirrored_support,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,940,0,0.997872340425532,0.997872340425532,0.9212765957446809,0.16489361702127658,97.75304171618573
3,N2_mirrored_support,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,264,0,1.0,1.0,1.0,0.9886363636363636,103.91299337244482
27,N2_mirrored_support,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.4622905027932961,0.5470085470085471,0.47706769118514747,1,716,351,0.47067039106145253,0.47067039106145253,0.06284916201117319,0.0,90.6612765345961
27,N2_mirrored_support,4CamClassic,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.058151609553478714,0.21965317919075145,0.06817715808898914,1,963,346,0.8504672897196262,0.8504672897196262,0.4755970924195223,0.08307372793354102,120.13146481844937
27,N2_mirrored_support,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,1.0,0.0,0,995,0,1.0,1.0,0.9959798994974874,0.8512562814070351,94.98600056191412
27,N2_mirrored_support,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.08129285014691479,0.07552581261950286,0.08007004449828307,1,1021,1046,0.9990205680705191,0.9990205680705191,0.8237022526934378,0.0039177277179236044,96.5827390621259
27,N2_mirrored_support,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,1146,0,1.0,1.0,0.9703315881326352,0.011343804537521814,94.51393851339552
27,N2_mirrored_support,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.2020997375328084,0.815028901734104,0.23787822352709187,1,762,173,0.8766404199475065,0.8766404199475065,0.515748031496063,0.14173228346456693,118.14647469194496
27,N2_mirrored_support,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,0.0,0.0,0,1584,2,0.9185606060606061,0.9185606060606061,0.6452020202020202,0.32323232323232326,103.23630957564606
27,N2_mirrored_support,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,234,0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0
27,N2_mirrored_support,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,975,0,1.0,1.0,0.8923076923076924,0.0,90.06834047838016
