sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
9,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9689713541666667,0.031028645833333313,1.2288,640,480
9,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9666471354166667,0.03335286458333331,1.2288,640,480
9,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.968720703125,0.03127929687499997,1.2288,640,480
13,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9657552083333333,0.03424479166666672,1.2288,640,480
13,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9705989583333333,0.029401041666666683,1.2288,640,480
13,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9684733072916667,0.031526692708333304,1.2288,640,480
13,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.96775390625,0.03224609374999998,1.2288,640,480
17,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.965888671875,0.03411132812499995,1.2288,640,480
17,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9705436197916667,0.0294563802083333,1.2288,640,480
17,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9676171875,0.03238281249999997,1.2288,640,480
17,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9692805989583333,0.030719401041666705,1.2288,640,480
21,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9627766927083333,0.037223307291666674,1.2288,640,480
