sample_index,layout,rig_id,semantic_id,priority,object_id,semantic_zone,object_region_recall,object_region_precision,object_region_f2,object_presence_success,object_target_surface_voxels,object_prediction_voxels,object_visible_surface_recall,object_visible_1plus,object_visible_2plus,object_visible_3plus,object_mean_view_diversity_deg
12,C1_standard_cath,4CamClassic,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.0,1.0,0.0,0,1394,0,0.9992826398852224,0.9992826398852224,0.599713055954089,0.24031563845050216,112.30822920543461
12,C1_standard_cath,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,0.0,0.0,0,1006,1,1.0,1.0,0.9980119284294234,0.9105367793240556,97.78315584676197
12,C1_standard_cath,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.0,1.0,0.0,0,942,0,0.9989384288747346,0.9989384288747346,0.7929936305732485,0.0,87.82068188823698
12,C1_standard_cath,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,973,0,1.0,1.0,0.9743062692702981,0.0,100.05926223157596
12,C1_standard_cath,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.009594882729211088,0.5,0.01193633952254642,0,938,2,0.8859275053304904,0.8859275053304904,0.5042643923240938,0.2846481876332623,97.5897694887843
12,C1_standard_cath,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,0.0,0.0,0,1676,1,0.9886634844868735,0.9886634844868735,0.8221957040572793,0.418854415274463,108.63024895245896
12,C1_standard_cath,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,242,0,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0
12,C1_standard_cath,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,934,0,1.0,1.0,0.8394004282655246,0.0,99.65332725736269
12,C1_standard_cath,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,1051,0,0.9162702188392008,0.9162702188392008,0.6945765937202664,0.07611798287345385,109.44411238971475
12,C1_standard_cath,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,295,0,1.0,1.0,1.0,0.9728813559322034,106.70195466201521
16,C1_standard_cath,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.48745046235138706,0.7289156626506024,0.522037124510689,1,757,332,0.4663143989431968,0.4663143989431968,0.011889035667107,0.0,125.16349524677983
16,C1_standard_cath,4CamClassic,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.0,1.0,0.0,0,1511,0,0.9980145598941098,0.9980145598941098,0.5731303772336201,0.28391793514228986,114.2108756775649
16,C1_standard_cath,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,1.0,0.0,0,1045,0,1.0,1.0,0.999043062200957,0.9033492822966507,97.47821424361534
16,C1_standard_cath,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.0,1.0,0.0,0,828,0,0.9963768115942029,0.9963768115942029,0.6992753623188406,0.0,87.53119505422875
16,C1_standard_cath,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.034782608695652174,0.5882352941176471,0.042844901456726654,0,1035,34,0.9971014492753624,0.9971014492753624,0.8222222222222222,0.10434782608695652,99.60475112078184
16,C1_standard_cath,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.0,1.0,0.0,0,780,0,0.8756410256410256,0.8756410256410256,0.4282051282051282,0.23974358974358975,102.52429266266333
16,C1_standard_cath,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,1.0,0.0,0,1701,0,0.9835390946502057,0.9835390946502057,0.7918871252204586,0.45267489711934156,107.71783850793044
16,C1_standard_cath,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,289,0,0.10726643598615918,0.10726643598615918,0.006920415224913495,0.0,104.61934628415236
16,C1_standard_cath,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,1038,0,1.0,1.0,0.802504816955684,0.0,107.24434826883883
16,C1_standard_cath,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,985,0,0.9989847715736041,0.9989847715736041,0.86497461928934,0.08020304568527918,111.20522297729048
16,C1_standard_cath,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,253,0,1.0,1.0,1.0,0.9683794466403162,107.04825719886087
20,C1_standard_cath,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.3865110246433204,0.7785234899328859,0.42979415436184876,1,771,149,0.38780804150453957,0.38780804150453957,0.005188067444876783,0.0,127.59949179488831
20,C1_standard_cath,4CamClassic,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.0,1.0,0.0,0,1355,0,0.9985239852398524,0.9985239852398524,0.5527675276752767,0.24575645756457565,112.95338276767653
20,C1_standard_cath,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,1.0,0.0,0,879,0,1.0,1.0,0.9977246871444824,0.906712172923777,97.94859202145162
20,C1_standard_cath,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.0,1.0,0.0,0,828,0,0.9722222222222222,0.9722222222222222,0.6207729468599034,0.0,87.0387462252654
20,C1_standard_cath,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,1003,0,0.9980059820538385,0.9980059820538385,0.9102691924227319,0.026919242273180457,101.72465672527099
20,C1_standard_cath,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.0,1.0,0.0,0,1006,0,0.9224652087475149,0.9224652087475149,0.5397614314115308,0.15606361829025844,101.65080168998912
20,C1_standard_cath,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.012143290831815421,1.0,0.01513317191283293,0,1647,2,0.9726775956284153,0.9726775956284153,0.7741347905282332,0.44687310261080754,107.67875950826156
20,C1_standard_cath,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,251,0,0.00796812749003984,0.00796812749003984,0.0,0.0,0.0
20,C1_standard_cath,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,983,0,1.0,1.0,0.7894201424211598,0.0,105.47683385451812
20,C1_standard_cath,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,1017,0,1.0,1.0,0.9016715830875123,0.0776794493608653,111.98041353276462
20,C1_standard_cath,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,274,0,1.0,1.0,0.9963503649635036,0.9562043795620438,107.41112983495525
24,C1_standard_cath,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.49164345403899723,0.84375,0.5364137775776677,1,718,192,0.43175487465181056,0.43175487465181056,0.057103064066852366,0.0,119.31254968344705
