sample_index,sample_name,layout,rig_id,strict_roi_surface_recall,strict_roi_surface_precision,strict_roi_surface_f2,strict_roi_false_empty_rate,strict_roi_overfill_ratio,strict_roi_surface_iou_weighted,strict_roi_surface_iou_unweighted,strict_roi_filled_iou_weighted,strict_roi_filled_iou_unweighted,strict_roi_robert_loss,strict_roi_robert_coverage,strict_roi_robert_overfill,strict_roi_gt_surface_voxels,strict_roi_reconstruction_voxels,visible_gt_surface_voxels,distance_gt_surface_voxels,distance_reconstruction_voxels,gt_to_reconstruction_median_cm,gt_to_reconstruction_p95_cm,reconstruction_to_gt_median_cm,reconstruction_to_gt_p95_cm,visible_gt_recall_at_5cm,surface_precision_at_5cm,surface_f1_at_5cm,surface_f2_at_5cm,visible_gt_recall_at_10cm,surface_precision_at_10cm,surface_f1_at_10cm,surface_f2_at_10cm,visible_gt_recall_at_15cm,surface_precision_at_15cm,surface_f1_at_15cm,surface_f2_at_15cm,free_volume_voxels_total,certified_free_volume_fraction,single_view_certified_free_volume_fraction,redundantly_certified_free_volume_fraction,unknown_free_volume_fraction,roi_certified_free_volume_fraction,roi_single_view_certified_free_volume_fraction,roi_redundantly_certified_free_volume_fraction,roi_unknown_free_volume_fraction,roi_visible_1plus,roi_visible_2plus,roi_visible_3plus,visible_by_at_least_1_camera,visible_by_at_least_2_cameras,visible_by_at_least_3_cameras,redundant_coverage_fraction,single_view_risk_fraction,blind_surface_fraction,observable_surface_fraction,redundant_surface_fraction,strong_redundancy_fraction,single_view_surface_fraction,strict_missed_surface_fraction,strict_extra_surface_fraction,navigation_visibility_score,headline_threshold_cm,mean_view_diversity_deg,metric_scope,num_depth_cameras,raw_depth_mb_per_sample,reconstruction_voxels_total,gt_props_voxels_total,gt_surface_voxels_total,roi_x_min,roi_x_max,roi_y_min,roi_y_max,roi_z_min,roi_z_max
9,sample_0009,N1_mirrored_head,3Cam,0.03864834142812855,0.03412928123492523,0.03765126029733973,0.9613516585718714,0.8276325307429989,0.006180289708756258,0.0034623331658010835,0.009074545739105957,0.004682397880598854,10.302292048677423,0.0744583069652861,1.0468751185782885,9677,8292,8145,9677,8292,53.38539205566087,158.19292255282195,82.0060985562697,250.1174650063617,0.007243707796193984,0.0074770863482875064,0.007358547119444629,0.007289210692861595,0.035972989564149786,0.03412928123492523,0.03502689039032093,0.03558848230889458,0.06519337016574586,0.06234925229136517,0.06373960023529092,0.06460397633312549,545008,0.8970216950943839,0.2738950620908317,0.6231266330035522,0.10297830490561606,0.8970216950943839,0.2738950620908317,0.6231266330035522,0.10297830490561606,0.8416864730805002,0.44972615480004136,0.07192311666838896,0.8416864730805002,0.44972615480004136,0.07192311666838896,0.44972615480004136,0.3919603182804588,0.15831352691949985,0.8416864730805002,0.44972615480004136,0.07192311666838896,0.3919603182804588,0.9613516585718714,0.9658707187650748,52.32972365897635,10.0,99.2389918484715,roi,3,3.6864,11100,32621,14178,-4.0,4.0,0.0,2.35,-2.0,2.0
13,sample_0013,N1_mirrored_head,3Cam,0.07788746298124383,0.08176100628930817,0.07863252843021659,0.9221125370187562,0.749457058242843,0.015763854609603112,0.010268519026961727,0.021312820271772316,0.012951686192080616,9.60230431771174,0.13121425480719562,0.9144468659982145,10130,8268,8632,10130,8268,53.38539205566087,166.28289396096704,94.27351626860978,234.57408561022422,0.020041705282669138,0.022617319787131107,0.02125175888177818,0.020508805517870956,0.07205746061167748,0.08176100628930817,0.07660316227251626,0.07380942818231276,0.1178174235403151,0.12397194000967586,0.12081635311649805,0.11899895058776125,544266,0.892642568156012,0.2802600199167319,0.6123825482392801,0.10735743184398805,0.892642568156012,0.2802600199167319,0.6123825482392801,0.10735743184398805,0.8521224086870681,0.45143139190523196,0.08232971372161896,0.8521224086870681,0.45143139190523196,0.08232971372161896,0.45143139190523196,0.4006910167818361,0.14787759131293188,0.8521224086870681,0.45143139190523196,0.08232971372161896,0.4006910167818361,0.9221125370187562,0.9182389937106918,52.60130507000618,10.0,99.30051545538595,roi,3,3.6864,10812,32188,14281,-4.0,4.0,0.0,2.35,-2.0,2.0
17,sample_0017,N1_mirrored_head,3Cam,0.04743366458354677,0.03827961720382796,0.04526859156421408,0.9525663354164532,0.8957074070279685,0.01251652296479967,0.006943702595876509,0.014699868031777554,0.007854627061060375,10.172802579953721,0.09467870342205509,1.1195896144062132,9761,9091,8691,9761,9091,56.78908430422602,114.12712380575991,78.26238037869298,220.8789130903721,0.013692325394085835,0.014299857001429985,0.013989498381079542,0.013809666552344885,0.03624439074905074,0.03827961720382796,0.03723421328967943,0.03663393674059022,0.059256702335749624,0.06368936310636894,0.06139312580644298,0.06009317692091497,545363,0.8956951608378272,0.32993254034468783,0.5657626204931394,0.10430483916217272,0.8956951608378272,0.32993254034468783,0.5657626204931394,0.10430483916217272,0.8903800840077861,0.4846839463169757,0.09261346173547792,0.8903800840077861,0.4846839463169757,0.09261346173547792,0.4846839463169757,0.40569613769081037,0.1096199159922139,0.8903800840077861,0.4846839463169757,0.09261346173547792,0.40569613769081037,0.9525663354164532,0.961720382796172,54.06719995173479,10.0,98.63476473312461,roi,3,3.6864,11666,32478,14522,-4.0,4.0,0.0,2.35,-2.0,2.0
21,sample_0021,N1_mirrored_head,3Cam,0.059835296570415926,0.050887978142076504,0.05780267906624674,0.940164703429584,0.8690711977483582,0.014520809702883622,0.007953049583150504,0.01740690883358749,0.009171153123826218,9.912059067213823,0.11610301962261416,1.0730892636721476,9593,8784,8218,9593,8784,50.249378854378534,112.47222046798657,77.62087463794126,242.67777072000231,0.016305670479435385,0.01650728597449909,0.01640585882517839,0.0163455986173794,0.05220248235580433,0.050887978142076504,0.0515368496416584,0.05193417657343794,0.08055487953273302,0.07377049180327869,0.07701355945348551,0.07909997557167589,545349,0.8955641249915192,0.29242008328611585,0.6031440417054034,0.10443587500848081,0.8955641249915192,0.29242008328611585,0.6031440417054034,0.10443587500848081,0.8566663191910768,0.47774418847075995,0.09944751381215469,0.8566663191910768,0.47774418847075995,0.09944751381215469,0.47774418847075995,0.3789221307203169,0.14333368080892317,0.8566663191910768,0.47774418847075995,0.09944751381215469,0.3789221307203169,0.940164703429584,0.9491120218579235,53.84612513203747,10.0,100.26781397199255,roi,3,3.6864,11319,31651,13862,-4.0,4.0,0.0,2.35,-2.0,2.0
25,sample_0025,N1_mirrored_head,3Cam,0.07387239289016748,0.062363550071191265,0.071242897586097,0.9261276071098326,1.0148977704715916,0.01875959281500784,0.011124968820154651,0.023671992109342625,0.01317066000293988,9.865823807458495,0.1288281776723118,1.1541055844044001,9733,10535,8141,9733,10535,43.011626976136306,113.57816860845205,100.12492346448154,245.70815393256325,0.025795356835769563,0.021167536782154724,0.02325342935945318,0.024714691239990365,0.06854194816361626,0.062363550071191265,0.06530694697958978,0.0672102356763692,0.11165704458911682,0.09729473184622686,0.1039822910086804,0.108455091286891,544540,0.8972729276086238,0.31688948470268485,0.5803834429059389,0.10272707239137621,0.8972729276086238,0.31688948470268485,0.5803834429059389,0.10272707239137621,0.8364327545463885,0.4669680468509195,0.09770882564471386,0.8364327545463885,0.4669680468509195,0.09770882564471386,0.4669680468509195,0.369464707695469,0.16356724545361143,0.8364327545463885,0.4669680468509195,0.09770882564471386,0.369464707695469,0.9261276071098326,0.9376364499288088,52.70519416327956,10.0,99.07809762458189,roi,3,3.6864,13205,32716,14421,-4.0,4.0,0.0,2.35,-2.0,2.0
29,sample_0029,N1_mirrored_head,3Cam,0.08955223880597014,0.09557288805888169,0.09069491066030065,0.9104477611940298,0.792778045257583,0.02151499731072806,0.013574660633484163,0.02561356604347579,0.014840590054722817,9.563170990042599,0.14740453716346458,1.0372163618896189,10385,9103,8631,10385,9103,45.825757632415396,156.28499840970576,79.68688843997329,234.76583558349336,0.027690881705480244,0.028671866417664508,0.02817283711973061,0.027881671471765533,0.08631676514888194,0.09557288805888169,0.09070931070230615,0.08802172547026743,0.1354420113544201,0.14138196199055256,0.13834825842465187,0.13658973382894712,543809,0.8925836093187131,0.33279699306190225,0.5597866162568108,0.107416390681287,0.8925836093187131,0.33279699306190225,0.5597866162568108,0.107416390681287,0.8311025517573423,0.4198363023591719,0.074434280211844,0.8311025517573423,0.4198363023591719,0.074434280211844,0.4198363023591719,0.4112662493981704,0.16889744824265768,0.8311025517573423,0.4198363023591719,0.074434280211844,0.4112662493981704,0.9104477611940298,0.9044271119411184,50.12764255899403,10.0,96.8654150462358,roi,3,3.6864,11577,32808,14523,-4.0,4.0,0.0,2.35,-2.0,2.0
33,sample_0033,N1_mirrored_head,3Cam,0.05171889260724064,0.04602878172031199,0.05047103941573483,0.9482811073927594,0.8806409086299564,0.014314349864922084,0.00770497901057442,0.017059923505165622,0.00878499559230325,10.041718396232794,0.1069591993203054,1.111310389669427,9861,9103,8475,9861,9103,65.00000096857548,136.56500487245376,83.21658612548994,232.69615672366828,0.016047197640117992,0.01592881467648028,0.015987787017057557,0.016023380484757634,0.043067846607669616,0.04602878172031199,0.04449911400397462,0.04362916111679926,0.0584070796460177,0.06217730418543337,0.06023325147656602,0.05912409729551096,544700,0.8965118413805764,0.3151918487240683,0.5813199926565081,0.10348815861942354,0.8965118413805764,0.3151918487240683,0.5813199926565081,0.10348815861942354,0.8594463036203225,0.48311530270763614,0.09593347530676402,0.8594463036203225,0.48311530270763614,0.09593347530676402,0.48311530270763614,0.37633100091268634,0.14055369637967752,0.8594463036203225,0.48311530270763614,0.09593347530676402,0.37633100091268634,0.9482811073927594,0.953971218279688,53.701549476962384,10.0,96.90534446490167,roi,3,3.6864,11788,31754,14005,-4.0,4.0,0.0,2.35,-2.0,2.0
37,sample_0037,N1_mirrored_head,3Cam,0.04634495938843765,0.04211915152745357,0.04543329629145569,0.9536550406115624,0.901863354037267,0.014425105467229193,0.0076873481128800275,0.016496585073911527,0.008487052914176842,10.137097453176331,0.09578741678541036,1.0949716212505891,10465,9853,8904,10465,9853,59.37171131989702,133.21504947163137,104.52272635934435,221.923413518638,0.016060197663971248,0.01573124936567543,0.015894021689441644,0.015993312032007115,0.03852201257861635,0.04211915152745357,0.04024035374308508,0.03919143265838369,0.056491464510332434,0.05592205419669136,0.05620531723111857,0.056376656675674486,542909,0.8966511883206946,0.312984312288063,0.5836668760326316,0.10334881167930537,0.8966511883206946,0.312984312288063,0.5836668760326316,0.10334881167930537,0.8508361204013378,0.45895843287147636,0.09335881509794554,0.8508361204013378,0.45895843287147636,0.09335881509794554,0.45895843287147636,0.39187768752986146,0.1491638795986622,0.8508361204013378,0.45895843287147636,0.09335881509794554,0.39187768752986146,0.9536550406115624,0.9578808484725464,52.66895888418376,10.0,97.34550405538442,roi,3,3.6864,12413,32038,14283,-4.0,4.0,0.0,2.35,-2.0,2.0
2,sample_0002,C2_radial_echo,3Cam,0.07530052166024041,0.08333333333333333,0.07678075855689176,0.9246994783397596,0.7609435246087548,0.022294118481641933,0.01337519623233909,0.03235515717063264,0.017798627160153152,9.56186541093673,0.1371053814418306,0.9329192255919666,8818,7320,8284,8818,7320,48.347526909998315,136.56500487245376,73.82411640123205,180.13883803079605,0.023539352969579912,0.029098360655737704,0.026025316646051934,0.024474483605189546,0.05842588121680348,0.08333333333333333,0.06869145614533069,0.0621405094494659,0.09089811685176244,0.12131147540983607,0.10392541213377025,0.09569642583587107,546518,0.9206119469075127,0.3036990547429362,0.6169128921645765,0.07938805309248735,0.9206119469075127,0.3036990547429362,0.6169128921645765,0.07938805309248735,0.9394420503515536,0.5062372420049898,0.08664096166931277,0.9394420503515536,0.5062372420049898,0.08664096166931277,0.5062372420049898,0.43320480834656383,0.06055794964844636,0.9394420503515536,0.5062372420049898,0.08664096166931277,0.43320480834656383,0.9246994783397596,0.9166666666666666,56.69977656213574,10.0,96.81999848506467,roi,3,3.6864,9876,32262,14206,-4.0,4.0,0.0,2.35,-2.0,2.0
6,sample_0006,C2_radial_echo,3Cam,0.05755079626578803,0.05970354103760637,0.057968835482033985,0.9424492037342119,0.7524437122460187,0.01787120152738152,0.010231124807395993,0.026818187778356938,0.014330175450596805,9.846589566844425,0.11243760616638865,0.9709656287446469,9105,7286,8525,9105,7286,64.42049459356578,264.80181595519514,78.26238037869298,181.77939954242353,0.01818181818181818,0.022783420258029097,0.020224171539961016,0.018947176185910602,0.04304985337243402,0.05970354103760637,0.05002712956084895,0.04559341611022774,0.06486803519061583,0.0903101839143563,0.07550343369083999,0.0687411828741331,545952,0.9129520543930603,0.31916908446163766,0.5937829699314225,0.0870479456069398,0.9129520543930603,0.31916908446163766,0.5937829699314225,0.0870479456069398,0.9362987369577156,0.3872597473915431,0.033937397034596375,0.9362987369577156,0.3872597473915431,0.033937397034596375,0.3872597473915431,0.5490389895661725,0.06370126304228446,0.9362987369577156,0.3872597473915431,0.033937397034596375,0.5490389895661725,0.9424492037342119,0.9402964589623937,50.995078931452184,10.0,100.05848105229096,roi,3,3.6864,9857,31993,14058,-4.0,4.0,0.0,2.35,-2.0,2.0
10,sample_0010,C2_radial_echo,3Cam,0.06835306781485469,0.0734229576008273,0.06931024887736921,0.9316469321851453,0.7715823466092573,0.02233700406935898,0.012307509364409299,0.0317375213761544,0.016383636303213586,9.596430588849797,0.13782955347695325,0.9747261238498542,9290,7736,8600,9290,7736,55.452683358356445,154.11035237064758,76.07522216005125,175.8017348416745,0.021395348837209303,0.02675801447776629,0.023778071334214005,0.022288741493668704,0.05151162790697674,0.0734229576008273,0.06054586176263089,0.054781259873184336,0.08406976744186047,0.10741985522233713,0.09432116604059364,0.08789076900067198,545865,0.9111355371749426,0.310901046962161,0.6002344902127815,0.08886446282505747,0.9111355371749426,0.310901046962161,0.6002344902127815,0.08886446282505747,0.9257265877287406,0.39720129171151775,0.039289558665231435,0.9257265877287406,0.39720129171151775,0.039289558665231435,0.39720129171151775,0.5285252960172229,0.07427341227125941,0.9257265877287406,0.39720129171151775,0.039289558665231435,0.5285252960172229,0.9316469321851453,0.9265770423991727,51.317240862723715,10.0,97.6930560878609,roi,3,3.6864,10304,31538,13923,-4.0,4.0,0.0,2.35,-2.0,2.0
